alpha,beta,num_topics,coherence
0.1,0.1,3,0.42227221368714396
0.1,0.1,4,0.43627624120124053
0.1,0.1,5,0.4140395932607809
0.1,0.1,6,0.4107611855207289
0.1,0.1,7,0.4147736103277282
0.1,0.1,8,0.428566206540413
0.1,0.1,9,0.4186201454764687
0.1,0.1,10,0.42138384983745736
0.1,0.5,3,0.4234497875651004
0.1,0.5,4,0.4230186128440806
0.1,0.5,5,0.4331334263308729
0.1,0.5,6,0.4325955349249078
0.1,0.5,7,0.4250395427309416
0.1,0.5,8,0.4328160103451917
0.1,0.5,9,0.42399794717286976
0.1,0.5,10,0.42696566580952744
0.1,1.0,3,0.42229403187081505
0.1,1.0,4,0.44424646165606196
0.1,1.0,5,0.4385243618368282
0.1,1.0,6,0.42154307521305534
0.1,1.0,7,0.45022323466447156
0.1,1.0,8,0.4171017417358724
0.1,1.0,9,0.42527239482070234
0.1,1.0,10,0.421257472818427
0.1,symmetric,3,0.44127975883347537
0.1,symmetric,4,0.4303527700976874
0.1,symmetric,5,0.42611061672287376
0.1,symmetric,6,0.41953505362403115
0.1,symmetric,7,0.42407594869256143
0.1,symmetric,8,0.43941971911084
0.1,symmetric,9,0.42550690796842655
0.1,symmetric,10,0.42298661101597823
0.1,auto,3,0.41700739521155633
0.1,auto,4,0.4225201390603929
0.1,auto,5,0.42766543397065415
0.1,auto,6,0.41606707552288635
0.1,auto,7,0.4266087904607696
0.1,auto,8,0.43231435802464036
0.1,auto,9,0.4272896424210853
0.1,auto,10,0.42101748999621247
0.5,0.1,3,0.42471867406786146
0.5,0.1,4,0.4218464510612838
0.5,0.1,5,0.426068145848202
0.5,0.1,6,0.4240254389263374
0.5,0.1,7,0.4264665367750108
0.5,0.1,8,0.4363431127425145
0.5,0.1,9,0.4289390629265386
0.5,0.1,10,0.42815393491913134
0.5,0.5,3,0.4429878155153446
0.5,0.5,4,0.43516156341779355
0.5,0.5,5,0.4304088130963284
0.5,0.5,6,0.43089079134815095
0.5,0.5,7,0.4329101373108756
0.5,0.5,8,0.4338993065722146
0.5,0.5,9,0.4308891507724767
0.5,0.5,10,0.43298620870692506
0.5,1.0,3,0.43346926184444423
0.5,1.0,4,0.42399169568462297
0.5,1.0,5,0.42524885708335125
0.5,1.0,6,0.42629754876049003
0.5,1.0,7,0.4305690213924818
0.5,1.0,8,0.44017605667425336
0.5,1.0,9,0.4345460247110198
0.5,1.0,10,0.43266086072614296
0.5,symmetric,3,0.42929239411950415
0.5,symmetric,4,0.4443136659932072
0.5,symmetric,5,0.4371999253523165
0.5,symmetric,6,0.41936370502465564
0.5,symmetric,7,0.43013949663958745
0.5,symmetric,8,0.4272774168666299
0.5,symmetric,9,0.4239893415647954
0.5,symmetric,10,0.4236862822459432
0.5,auto,3,0.4453343903883944
0.5,auto,4,0.43110716709159425
0.5,auto,5,0.42428092741692913
0.5,auto,6,0.4262896450092488
0.5,auto,7,0.42928054474418303
0.5,auto,8,0.4308311319523039
0.5,auto,9,0.4322477828257427
0.5,auto,10,0.4313867392469173
1.0,0.1,3,0.44040567598879593
1.0,0.1,4,0.42845662121001826
1.0,0.1,5,0.422742212119562
1.0,0.1,6,0.4445110108010634
1.0,0.1,7,0.43508872192749004
1.0,0.1,8,0.43714768257626135
1.0,0.1,9,0.4269171498308384
1.0,0.1,10,0.43051406680111776
1.0,0.5,3,0.4208207202477807
1.0,0.5,4,0.4296695776846716
1.0,0.5,5,0.4364063300489064
1.0,0.5,6,0.4394075774648862
1.0,0.5,7,0.4343713702322874
1.0,0.5,8,0.4311371739695773
1.0,0.5,9,0.4278240043360102
1.0,0.5,10,0.43061562100530393
1.0,1.0,3,0.44306518523083444
1.0,1.0,4,0.4317130952072453
1.0,1.0,5,0.44054245770993655
1.0,1.0,6,0.4314055900370042
1.0,1.0,7,0.4354410098256558
1.0,1.0,8,0.4394692051602323
1.0,1.0,9,0.43263249689601724
1.0,1.0,10,0.43385508160640385
1.0,symmetric,3,0.4363230269681306
1.0,symmetric,4,0.4221943223080357
1.0,symmetric,5,0.4448916628834132
1.0,symmetric,6,0.42863148765105735
1.0,symmetric,7,0.42703835818848185
1.0,symmetric,8,0.4309672518049257
1.0,symmetric,9,0.4305070180934338
1.0,symmetric,10,0.4355649019223578
1.0,auto,3,0.4359424705469261
1.0,auto,4,0.42799147454943426
1.0,auto,5,0.4350503751064047
1.0,auto,6,0.42826360287807425
1.0,auto,7,0.4473134150064176
1.0,auto,8,0.43524314568803024
1.0,auto,9,0.43286894107311935
1.0,auto,10,0.4360692401050306
symmetric,0.1,3,0.43236257874375145
symmetric,0.1,4,0.4363366548359445
symmetric,0.1,5,0.4308005573687078
symmetric,0.1,6,0.4154870120044532
symmetric,0.1,7,0.4299673071507293
symmetric,0.1,8,0.4232917921552069
symmetric,0.1,9,0.41918275205428807
symmetric,0.1,10,0.40778652426352735
symmetric,0.5,3,0.4262440364809732
symmetric,0.5,4,0.4164683823436733
symmetric,0.5,5,0.43142173372248144
symmetric,0.5,6,0.42205218416631324
symmetric,0.5,7,0.426952738197426
symmetric,0.5,8,0.4107168942644791
symmetric,0.5,9,0.417439121291301
symmetric,0.5,10,0.43091218588712554
symmetric,1.0,3,0.4356550721261551
symmetric,1.0,4,0.4271556588418895
symmetric,1.0,5,0.4349884663712129
symmetric,1.0,6,0.4263871062736555
symmetric,1.0,7,0.4277165884441512
symmetric,1.0,8,0.4340978044726277
symmetric,1.0,9,0.42582452736544424
symmetric,1.0,10,0.4217879069992686
symmetric,symmetric,3,0.4221968626080217
symmetric,symmetric,4,0.4143317704944435
symmetric,symmetric,5,0.4321125208249896
symmetric,symmetric,6,0.4400464423103392
symmetric,symmetric,7,0.43098822543453746
symmetric,symmetric,8,0.4104687613653091
symmetric,symmetric,9,0.4293907856317609
symmetric,symmetric,10,0.4239913837941258
symmetric,auto,3,0.4464300345559861
symmetric,auto,4,0.42396133136712477
symmetric,auto,5,0.4314564501311787
symmetric,auto,6,0.4130868872430305
symmetric,auto,7,0.41491209952236036
symmetric,auto,8,0.42174769120207173
symmetric,auto,9,0.4249566000564024
symmetric,auto,10,0.4311325495013002
asymmetric,0.1,3,0.43665311367766657
asymmetric,0.1,4,0.42884002819334854
asymmetric,0.1,5,0.4283693854496424
asymmetric,0.1,6,0.4202075312905271
asymmetric,0.1,7,0.4293027754007057
asymmetric,0.1,8,0.4139008897910901
asymmetric,0.1,9,0.42538240841115554
asymmetric,0.1,10,0.42170289921324067
asymmetric,0.5,3,0.4379231397209948
asymmetric,0.5,4,0.42357202896973656
asymmetric,0.5,5,0.43900377779172856
asymmetric,0.5,6,0.43155788931012284
asymmetric,0.5,7,0.43036412431012555
asymmetric,0.5,8,0.4297033577281114
asymmetric,0.5,9,0.43102496198420653
asymmetric,0.5,10,0.4205629130611026
asymmetric,1.0,3,0.4289171854675859
asymmetric,1.0,4,0.44026376279880663
asymmetric,1.0,5,0.4348294872816642
asymmetric,1.0,6,0.4476394241605362
asymmetric,1.0,7,0.4363544408799254
asymmetric,1.0,8,0.4306213104458157
asymmetric,1.0,9,0.4151095271350201
asymmetric,1.0,10,0.43923601938403956
asymmetric,symmetric,3,0.4269090365267556
asymmetric,symmetric,4,0.4107315861655233
asymmetric,symmetric,5,0.4248356150966174
asymmetric,symmetric,6,0.4247321215617168
asymmetric,symmetric,7,0.42488140858939705
asymmetric,symmetric,8,0.4223342445702235
asymmetric,symmetric,9,0.42179746464728773
asymmetric,symmetric,10,0.43372769105035636
asymmetric,auto,3,0.42668842816065106
asymmetric,auto,4,0.42849970336280263
asymmetric,auto,5,0.43866351004358045
asymmetric,auto,6,0.4246518660302711
asymmetric,auto,7,0.42270277749211377
asymmetric,auto,8,0.4108802412488573
asymmetric,auto,9,0.4258091612348749
asymmetric,auto,10,0.4127608852931319
